,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
576,Isaiah Osbourne,eng ENG,MF,Scunthorpe,26,1987,28,24,2082,23.1,0,3,3,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,50888f31
577,Lanre Oyebanjo,ie IRL,DF,Crawley Town,24,1990,31,26,2381,26.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,60783348
578,Erhun Oztumer,,FWMF,Peterborough,23,1991,20,11,962,10.7,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,327092e2
579,Marlon Pack,eng ENG,DFMF,Bristol City,23,1991,34,22,2142,23.8,3,4,7,2,1,1,2,0,0.13,0.17,0.29,0.08,0.25,Matches,8633b350
580,Will Packwood,us USA,DFMF,Colchester,21,1993,1,1,67,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,524d551d
581,Martin Paterson,nir NIR,FW,Fleetwood Town,27,1987,3,3,202,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,53daa1e9
582,Jack Payne,eng ENG,DFMF,Peterborough,22,1991,41,38,3316,36.8,3,1,4,3,0,0,9,0,0.08,0.03,0.11,0.08,0.11,Matches,c7010c0b
583,Ben Pearson,eng ENG,MF,Barnsley,19,1995,22,21,1882,20.9,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,a6b461e7
584,Matthew Pennington,eng ENG,DF,Coventry City,19,1994,24,24,2115,23.5,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,0ff967f7
585,Alex Peterson,eng ENG,FW,Doncaster,19,1994,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35ef04fa
586,Michael Petrasso,ca CAN,DFMF,Notts County,19,1995,8,5,479,5.3,3,0,3,3,0,0,0,0,0.56,0.00,0.56,0.56,0.56,Matches,075faf85
587,Michael Petrasso,ca CAN,DFMF,Leyton Orient,19,1995,3,2,155,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,075faf85
588,Mike Phenix,eng ENG,FW,Barnsley,25,1989,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b13adeb
589,Aaron Phillips,eng ENG,DF,Coventry City,20,1993,18,14,1190,13.2,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,09056ccd
590,Danny Philliskirk,eng ENG,DFFW,Oldham Athletic,23,1991,43,37,3322,36.9,4,3,7,4,0,1,2,0,0.11,0.08,0.19,0.11,0.19,Matches,bc156e10
591,Jordan Pickford,eng ENG,GK,Bradford City,20,1994,33,33,2891,32.1,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches,4806ec67
592,Kevin Pilkington,eng ENG,GK,Notts County,40,1974,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,96ba3590
593,Gianvito Plasmati,it ITA,FW,Leyton Orient,31,1983,14,7,515,5.7,2,2,4,1,1,1,1,0,0.35,0.35,0.70,0.17,0.52,Matches,d767827f
594,Mathias Pogba,gn GUI,FW,Crawley Town,23,1990,17,14,1091,12.1,2,2,4,2,0,0,1,0,0.16,0.16,0.33,0.16,0.33,Matches,32f28ca4
595,Dominic Poleon,lc LCA,FWMF,Oldham Athletic,20,1993,35,21,1869,20.8,4,0,4,4,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches,18c922bb
596,Nathan Pond,ms MSR,DFMF,Fleetwood Town,29,1985,27,24,2247,25.0,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches,bbe1cdb6
597,Tom Pope,eng ENG,FW,Port Vale,28,1985,33,28,2561,28.5,8,3,11,8,0,0,6,0,0.28,0.11,0.39,0.28,0.39,Matches,40432f88
598,Chris Porter,eng ENG,FW,Sheffield United,30,1983,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2a05f837
599,Chris Porter,eng ENG,FW,Colchester,30,1983,21,20,1782,19.8,7,1,8,5,2,3,2,0,0.35,0.05,0.40,0.25,0.30,Matches,2a05f837
600,Darren Potter,ie IRL,MF,MK Dons,29,1984,40,40,3526,39.2,2,3,5,2,0,0,11,0,0.05,0.08,0.13,0.05,0.13,Matches,fc561eff
601,Daniel Powell,eng ENG,FWMF,MK Dons,23,1991,42,30,2768,30.8,8,4,12,8,0,0,3,0,0.26,0.13,0.39,0.26,0.39,Matches,852a7aa0
602,Matt Preston,eng ENG,DF,Walsall,19,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dabf5226
603,Jack Price,eng ENG,MF,Yeovil Town,21,1992,6,5,462,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6217c92d
604,Jack Price,eng ENG,MF,Leyton Orient,21,1992,5,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6217c92d
605,Lewis Price,wls WAL,GK,Crawley Town,30,1984,18,18,1575,17.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,55f07e07
606,Bradley Pritchard,zw ZIM,MF,Leyton Orient,28,1985,31,22,1985,22.1,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,e81ca41c
607,Josh Pritchard,wls WAL,MF,Gillingham,21,1992,25,14,1167,13.0,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,0582dc7d
608,Jamie Proctor,eng ENG,FW,Fleetwood Town,22,1992,41,32,3075,34.2,8,6,14,8,0,0,7,0,0.23,0.18,0.41,0.23,0.41,Matches,9c451bde
609,Nick Proschwitz,de GER,FW,Coventry City,27,1986,9,6,567,6.3,1,0,1,1,0,1,0,0,0.16,0.00,0.16,0.16,0.16,Matches,9cf4fd68
610,Danny Pugh,eng ENG,DFMF,Coventry City,31,1982,5,5,397,4.4,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,7f60e79c
611,Ben Purkiss,eng ENG,DF,Walsall,30,1984,32,31,2742,30.5,0,2,2,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,cafb162e
612,Paul Rachubka,eng ENG,GK,Crewe Alexandra,33,1981,15,14,1280,14.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f3229025
613,Paul Rachubka,eng ENG,GK,Oldham Athletic,33,1981,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f3229025
614,Joe Rafferty,ie IRL,DFMF,Rochdale,20,1993,31,28,2261,25.1,1,2,3,1,0,0,8,1,0.04,0.08,0.12,0.04,0.12,Matches,4d5ecb73
