,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
758,Sam Wedgbury,eng ENG,DFMF,Stevenage,24,1989,14,6,622,6.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,cbcbb666
759,Nahki Wells,bm BER,FW,Bradford City,23,1990,19,18,1482,16.5,14,2,16,13,1,1,1,0,0.85,0.12,0.97,0.79,0.91,b070482d
760,John Welsh,eng ENG,MF,Preston,29,1984,36,30,2714,30.2,2,1,3,2,0,0,10,0,0.07,0.03,0.10,0.07,0.10,9713e675
761,James Wesolowski,au AUS,MF,Oldham Athletic,25,1987,39,37,3302,36.7,4,1,5,4,0,0,7,0,0.11,0.03,0.14,0.11,0.14,0328f947
762,Michael West,eng ENG,MF,Crewe Alexandra,22,1991,2,0,26,0.3,0,1,1,0,0,0,0,0,0.00,3.46,3.46,0.00,3.46,f3eb3c3d
763,Craig Westcarr,eng ENG,FWMF,Walsall,28,1985,43,40,3486,38.7,14,6,20,12,2,2,1,1,0.36,0.15,0.52,0.31,0.46,7bcd714b
764,Darryl Westlake,eng ENG,DF,Sheffield United,22,1991,7,4,363,4.0,0,1,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,35e522e5
765,Myles Weston,ag ATG,DFFW,Gillingham,25,1988,39,23,2357,26.2,2,1,3,2,0,0,1,0,0.08,0.04,0.11,0.08,0.11,5de297c5
766,Chris Whelpdale,eng ENG,MF,Gillingham,26,1987,24,21,1667,18.5,1,2,3,1,0,0,1,0,0.05,0.11,0.16,0.05,0.16,85ebf5f5
767,Aidy White,eng ENG,DFMF,Sheffield United,21,1991,8,8,667,7.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,a850b35d
768,Aaron Wildig,wls WAL,MF,Shrewsbury,21,1992,30,27,2267,25.2,2,1,3,2,0,0,3,0,0.08,0.04,0.12,0.08,0.12,38f0d94d
769,Andy Williams,eng ENG,FWMF,Swindon Town,26,1986,3,3,251,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8750ba2d
770,Derrick Williams,ie IRL,DF,Bristol City,20,1993,43,40,3592,39.9,1,2,3,1,0,0,8,0,0.03,0.05,0.08,0.03,0.08,c0a28fbd
771,Marcus Williams,eng ENG,DF,Sheffield United,27,1986,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,e7e03b8f
772,Shaun Williams,ie IRL,DFMF,MK Dons,26,1986,25,25,2214,24.6,8,2,10,3,5,6,4,0,0.33,0.08,0.41,0.12,0.20,29ebbf1a
773,Ben Williamson,eng ENG,FWMF,Port Vale,24,1988,38,18,1921,21.3,4,1,5,4,0,0,1,0,0.19,0.05,0.23,0.19,0.23,919f7838
774,Jordan Willis,eng ENG,DF,Coventry City,18,1994,28,21,1905,21.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,b1d4d4d8
775,Brian Wilson,eng ENG,DFMF,Colchester,30,1983,38,38,3318,36.9,0,5,5,0,0,0,9,0,0.00,0.14,0.14,0.00,0.14,d00ba3d7
776,Callum Wilson,eng ENG,FW,Coventry City,21,1992,37,37,3280,36.4,21,3,24,19,2,3,6,0,0.58,0.08,0.66,0.52,0.60,c596fcb0
777,James Wilson,wls WAL,DF,Oldham Athletic,24,1989,16,16,1440,16.0,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,77621175
778,Carl Winchester,nir NIR,DFMF,Oldham Athletic,20,1993,12,7,671,7.5,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,6459ee4e
779,Dave Winfield,eng ENG,DFMF,Shrewsbury,25,1988,17,15,1353,15.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,21a862ed
780,Scott Wiseman,gi GIB,DFMF,Preston,27,1985,15,13,1084,12.0,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,4ac936f9
781,Ryan Woods,eng ENG,MF,Shrewsbury,19,1993,41,37,3305,36.7,1,3,4,1,0,0,5,0,0.03,0.08,0.11,0.03,0.11,ebf5f33d
782,David Worrall,eng ENG,FWMF,Rotherham,23,1990,3,1,103,1.1,1,0,1,1,0,0,0,0,0.87,0.00,0.87,0.87,0.87,f701fd43
