,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
125,Ashley Chambers,eng ENG,FWMF,Dag & Red,25,1990,31,22,1884,20.9,4,5,9,4,0,0,2,0,0.19,0.24,0.43,0.19,0.43,Matches,0c76743b
126,Tom Champion,eng ENG,DFMF,Barnet,29,1986,26,19,1723,19.1,0,2,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches,b8ec2432
127,Conor Chaplin,eng ENG,FWMF,Portsmouth,18,1997,30,6,728,8.1,8,2,10,8,0,0,4,0,0.99,0.25,1.24,0.99,1.24,Matches,4ec55b87
128,Aaron Chapman,eng ENG,GK,Bristol Rovers,25,1990,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,df3bff72
129,Adam Chapman,nir NIR,MF,Mansfield Town,25,1989,37,36,3168,35.2,2,4,6,2,0,0,2,0,0.06,0.11,0.17,0.06,0.17,Matches,cdce8c2f
130,Darius Charles,eng ENG,DFFW,AFC Wimbledon,27,1987,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35bc4906
131,Adam Chicksen,zw ZIM,DFMF,Leyton Orient,23,1991,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c87352d6
132,Jordan Chiedozie,ng NGA,FW,Cambridge,20,1994,2,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,914b7a76
133,Alex Cisak,au AUS,GK,Leyton Orient,26,1989,43,43,3870,43.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1bbe1801
134,Max Clark,eng ENG,DFMF,Cambridge,19,1996,9,7,665,7.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,73f16ec2
135,James Clarke,eng ENG,DF,Bristol Rovers,25,1989,37,36,2973,33.0,0,2,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,3830cfa7
136,Josh Clarke,eng ENG,DFMF,Barnet,20,1995,10,10,725,8.1,3,0,3,3,0,0,3,1,0.37,0.00,0.37,0.37,0.37,Matches,28ce8676
137,Matthew Clarke,eng ENG,DF,Portsmouth,18,1996,29,26,2334,25.9,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches,8ea2227a
138,Ollie Clarke,eng ENG,DFMF,Bristol Rovers,23,1992,33,22,1767,19.6,2,0,2,2,0,0,2,1,0.10,0.00,0.10,0.10,0.10,Matches,172e9148
