,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
107,Daniel Butterworth,eng ENG,FW,Blackburn,21,1999,11,1,260,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5564eb4f
108,David Button,eng ENG,GK,West Brom,32,1989,10,10,900,10.0,0,1,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches,e608ed4c
109,Nathan Byrne,eng ENG,DF,Derby County,29,1992,41,41,3663,40.7,0,2,2,0,0,0,13,1,0.00,0.05,0.05,0.00,0.05,Matches,c4041fbc
110,Ben Cabango,wls WAL,DF,Swansea City,21,2000,37,34,3073,34.1,1,1,2,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,Matches,70723cac
111,Rafael Cabral,br BRA,GK,Reading,31,1990,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,806f7a26
112,Cafú,pt POR,MF,Nottingham,28,1993,14,2,356,4.0,1,1,2,1,0,0,1,0,0.25,0.25,0.51,0.25,0.51,Matches,85322440
113,Gary Cahill,eng ENG,DF,Bournemouth,35,1985,22,21,1939,21.5,0,1,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05,Matches,7914b9fe
114,Tom Cairney,sct SCO,MF,Fulham,30,1991,26,16,1547,17.2,3,4,7,3,0,0,2,0,0.17,0.23,0.41,0.17,0.41,Matches,a8748947
115,Mamadi Camará,gw GNB,FWMF,Reading,17,2003,6,0,151,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb8564f8
116,Allan Campbell,sct SCO,MF,Luton Town,23,1998,33,31,2583,28.7,4,2,6,4,0,0,8,0,0.14,0.07,0.21,0.14,0.21,Matches,858409be
117,Fraizer Campbell,eng ENG,FW,Huddersfield,33,1987,19,4,614,6.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,81d63375
118,Tyrese Campbell,eng ENG,FWMF,Stoke City,21,1999,26,10,1049,11.7,4,1,5,4,0,0,2,0,0.34,0.09,0.43,0.34,0.43,Matches,38aefb74
119,Andy Cannon,eng ENG,MF,Hull City,25,1996,10,4,440,4.9,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,5d7b6611
120,Todd Cantwell,eng ENG,MF,Bournemouth,23,1998,11,8,639,7.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f63d8a4b
