,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
99,Jacob Butterfield,eng ENG,DFMF,Barnsley,20,1990,40,18,1901,21.1,2,5,7,2,0,0,3,0,0.09,0.24,0.33,0.09,0.33,5ff1aeb8
100,Jake Buxton,eng ENG,DF,Derby County,25,1985,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,f073b43a
101,Ákos Buzsáky,hu HUN,MF,QPR,28,1982,19,9,850,9.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3fe9ae90
102,Cliff Byrne,ie IRL,DF,Scunthorpe,28,1982,21,20,1796,20.0,2,4,6,2,0,0,4,0,0.10,0.20,0.30,0.10,0.30,d3d5df89
103,Stephen Bywater,eng ENG,GK,Derby County,29,1981,22,22,1936,21.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,aaa3d97b
104,Stephen Bywater,eng ENG,GK,Cardiff City,29,1981,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,aaa3d97b
105,Kieron Cadogan,eng ENG,FWMF,Crystal Palace,19,1990,16,7,597,6.6,1,1,2,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,afbfe2e7
106,Tom Cairney,sct SCO,MF,Hull City,19,1991,22,16,1521,16.9,1,2,3,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,a8748947
107,Jean Calvé,fr FRA,DF,Sheffield United,26,1984,18,16,1333,14.8,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,8111297a
108,Nathan Cameron,eng ENG,DF,Coventry City,18,1991,25,22,2004,22.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,59eadf36
109,Lee Camp,nir NIR,GK,Nottingham,25,1984,46,46,4123,45.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,df4b8b69
110,DJ Campbell,eng ENG,FW,Leicester City,28,1981,3,3,261,2.9,1,0,1,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,d9129797
111,Jamal Campbell-Ryce,jm JAM,FWMF,Bristol City,27,1983,31,21,1931,21.5,2,3,5,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,d02c06d8
