,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
124,Kenny Clark,eng ENG,DFMF,Dag & Red,29,1988,21,20,1812,20.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,00550bdc
125,Kenny Clark,eng ENG,DFMF,Ebbsfleet United,29,1988,9,9,796,8.8,1,0,1,1,0,0,2,1,0.11,0.00,0.11,0.11,0.11,Matches,00550bdc
126,Michael Clark,eng ENG,DFMF,Braintree Town,20,1997,9,8,743,8.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dfa4fdd7
127,Nathan Clarke,eng ENG,DFMF,FC Halifax Town,34,1983,46,46,4140,46.0,4,0,4,4,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches,3a8ce088
128,Craig Clay,eng ENG,MFDF,Leyton Orient,26,1992,43,42,3692,41.0,1,0,1,1,0,0,10,0,0.02,0.00,0.02,0.02,0.02,Matches,c003124a
129,Nick Clayton-Phillips,eng ENG,MF,Braintree Town,18,1999,3,0,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d379468a
130,Remy Clerima,fr FRA,DF,Maidenhead,27,1990,41,41,3656,40.6,1,0,1,1,0,0,4,0,0.02,0.00,0.02,0.02,0.02,Matches,56ce83ab
131,Adrian Clifton,ms MSR,MFFW,Maidenhead,29,1988,40,31,2760,30.7,14,0,14,13,1,1,4,0,0.46,0.00,0.46,0.42,0.42,Matches,fe72912b
132,Charlie Clough,eng ENG,MFDF,Sutton United,27,1990,22,22,1958,21.8,2,0,2,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,765ff543
133,Andre Coker,eng ENG,MFFW,Maidstone Utd,20,1997,9,4,368,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e6ed984f
134,Chinua Cole,eng ENG,DFMF,Maidenhead,24,1994,10,5,604,6.7,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,6e4928e2
135,Jake Cole,eng ENG,GK,Aldershot Town,32,1985,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7c5b4491
136,Reece Cole,eng ENG,MF,Maidenhead,20,1998,5,1,179,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6e483aa5
137,Jamie Collins,eng ENG,DFMF,Sutton United,33,1984,30,30,2553,28.4,6,0,6,1,5,5,2,1,0.21,0.00,0.21,0.04,0.04,Matches,d4d081d1
138,James Comley,ms MSR,MFDF,Maidenhead,27,1991,38,38,3237,36.0,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches,6f11784f
139,Jack Connors,ie IRL,MFDF,Dover Athletic,23,1994,10,9,803,8.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5b307501
140,James Constable,eng ENG,MFFW,Eastleigh,33,1984,14,2,283,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e60043fb
141,Charlie Cooper,eng ENG,MF,Boreham Wood,21,1997,5,5,379,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9eadfbf2
142,Tyler Cordner,eng ENG,FWDF,Havant & W'ville,19,1998,34,34,3060,34.0,4,0,4,4,0,0,5,0,0.12,0.00,0.12,0.12,0.12,Matches,598a5fde
143,Raul Correia,pt POR,FW,Barrow,25,1993,5,0,69,0.8,1,0,1,1,0,0,0,0,1.30,0.00,1.30,1.30,1.30,Matches,dc8a4899
