,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
117,Fabricio Coloccini,ar ARG,DFMF,Newcastle,28,1982,35,35,3081,34.2,2,0,2,2,0,0,3,1,0.06,0,0.06,0.06,0.06,Matches,78b3399f
118,Jordan Cook,eng ENG,FW,Sunderland,20,1990,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,28a7e81c
119,Vedran Ćorluka,hr CRO,DF,Tottenham,24,1986,15,13,1163,12.9,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches,6ceef869
120,Manuel da Costa,ma MAR,DF,West Ham,24,1986,16,14,1293,14.4,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches,50e14b3c
121,Simon Cox,ie IRL,FW,West Brom,23,1987,19,8,772,8.6,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,6124c209
122,Jody Craddock,eng ENG,DFMF,Wolves,35,1975,15,14,1175,13.1,1,0,1,1,0,0,5,0,0.08,0,0.08,0.08,0.08,Matches,573e5dd2
123,Stephen Crainey,sct SCO,DF,Blackpool,29,1981,31,31,2746,30.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2f6dd6a3
124,Peter Crouch,eng ENG,FW,Tottenham,29,1981,34,20,1945,21.6,4,6,10,4,0,0,0,0,0.19,0.28,0.46,0.19,0.46,Matches,73d9bdc7
125,Carlo Cudicini,it ITA,GK,Tottenham,36,1973,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,df77463a
126,Carlos Cuéllar,es ESP,DF,Aston Villa,28,1981,12,10,894,9.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,1222ab35
127,Scott Dann,eng ENG,DF,Birmingham City,23,1987,20,20,1800,20,2,1,3,2,0,0,4,0,0.1,0.05,0.15,0.1,0.15,Matches,52105203
128,Curtis Davies,sl SLE,DF,Birmingham City,25,1985,6,2,338,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,607fb965
129,Kevin Davies,eng ENG,FW,Bolton,33,1977,38,38,3382,37.6,8,5,13,4,4,5,10,0,0.21,0.13,0.35,0.11,0.24,Matches,2f726a89
130,Mark Davies,eng ENG,MF,Bolton,22,1988,24,9,984,10.9,1,3,4,1,0,0,5,1,0.09,0.27,0.37,0.09,0.37,Matches,3de91e73
131,Simon Davies,wls WAL,MF,Fulham,30,1979,30,25,2211,24.6,4,4,8,4,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches,522b6d6c
132,Michael Dawson,eng ENG,DF,Tottenham,26,1983,24,24,2160,24,1,0,1,1,0,0,6,0,0.04,0,0.04,0.04,0.04,Matches,4771114f
133,Jermain Defoe,eng ENG,FW,Tottenham,27,1982,22,16,1477,16.4,4,2,6,4,0,0,0,1,0.24,0.12,0.37,0.24,0.37,Matches,f1e8372d
134,Rory Delap,ie IRL,MF,Stoke City,34,1976,37,33,2955,32.8,2,1,3,2,0,0,5,0,0.06,0.03,0.09,0.06,0.09,Matches,9b0dac73
135,Nathan Delfouneso,eng ENG,FWMF,Aston Villa,19,1991,11,2,398,4.4,1,0,1,1,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches,49ae4072
136,Fabian Delph,eng ENG,DFMF,Aston Villa,20,1989,7,4,413,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,111c3236
137,Mousa Dembélé,be BEL,MF,Fulham,23,1987,24,22,1915,21.3,3,3,6,3,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches,f7ee69fb
138,Ishmel Demontagnac,eng ENG,MF,Blackpool,22,1988,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,81c7d697
139,Clint Dempsey,us USA,FWMF,Fulham,27,1983,37,35,3091,34.3,12,3,15,11,1,2,5,0,0.35,0.09,0.44,0.32,0.41,Matches,523d9de6
140,Denílson,br BRA,MF,Arsenal,22,1988,16,6,629,7,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,2f07dee0
141,Edwin van der Sar,nl NED,GK,Manchester Utd,39,1970,33,33,2970,33,0,1,1,0,0,0,1,0,0,0.03,0.03,0,0.03,Matches,98ee8a67
